Date,Open,High,Low,Close,Volume
2021-01-04,27092.69,27489.86,27092.69,27376.38,1993800
2021-01-05,27177.8,27291.27,27035.95,27177.8,2155700
2021-01-06,27404.75,28709.74,26979.21,27688.44,3674500
2021-01-07,27688.44,28312.57,27518.23,27745.18,1678500
2021-01-08,27972.14,27972.14,27348.01,27518.23,2034900
2021-01-11,27518.23,27574.97,27177.8,27376.38,2758800
2021-01-12,27376.38,27801.92,27177.8,27660.08,2189300
2021-01-13,27688.44,27915.4,27461.49,27489.86,1650200
2021-01-14,27518.23,27801.92,27234.54,27716.81,1904800
2021-01-15,27972.14,28085.62,27716.81,27716.81,2404700
2021-01-18,27745.18,27801.92,27574.97,27603.34,1685100
2021-01-19,27574.97,27574.97,25674.22,25674.22,2701100
2021-01-20,25674.22,26383.46,24113.91,25816.07,2306500
2021-01-21,25872.81,26383.46,25645.85,26383.46,1347000
2021-01-22,26383.46,26411.83,25589.12,25674.22,2211800
2021-01-25,25532.38,25645.85,25191.95,25305.42,1371900
2021-01-26,25163.58,25163.58,23716.74,24142.28,1836800
2021-01-27,24142.28,24624.56,23035.88,23433.05,2102100
2021-01-28,22128.06,22695.45,21816,21816,2692000
2021-01-29,20709.6,23177.72,20709.6,22638.71,2008200
2021-02-01,22638.71,23262.83,21929.48,22184.8,1545000
2021-02-02,22071.32,22667.08,21872.74,22326.65,2497300
2021-02-03,22752.19,23546.53,22525.23,23461.42,1851900
2021-02-04,23489.79,23603.26,23206.09,23546.53,1378500
2021-02-05,23546.53,23886.96,23433.05,23716.74,1279600
2021-02-08,23716.74,23830.22,22156.43,22752.19,1874900
2021-02-09,22979.14,23376.31,22525.23,23149.36,1448500
2021-02-17,23177.72,23886.96,23177.72,23886.96,1439000
2021-02-18,23943.7,24681.3,23660,24624.56,2339700
2021-02-19,24397.61,25248.68,24312.5,25021.73,2027200
2021-02-22,25021.73,25248.68,24794.78,24823.14,1523800
2021-02-23,24823.14,25021.73,24511.08,24964.99,1533100
2021-02-24,24908.25,25078.47,24170.65,24425.97,1640000
2021-02-25,24624.56,24851.51,23943.7,24369.24,1733200
2021-02-26,24284.13,24794.78,24000.43,24738.04,1379500
2021-03-01,24738.04,25191.95,24738.04,25021.73,2251400
2021-03-02,25248.68,25305.42,24879.88,24993.36,2124000
2021-03-03,24993.36,25078.47,24794.78,24851.51,1583800
2021-03-04,24964.99,25106.84,24000.43,24255.76,2089500
2021-03-05,24255.76,24567.82,23830.22,24057.17,1857200
2021-03-08,24624.56,24624.56,24000.43,24085.54,1595300
2021-03-09,24057.17,24057.17,23546.53,23745.11,2430700
2021-03-10,23830.22,23943.7,23489.79,23830.22,2056500
2021-03-11,24227.39,24738.04,24142.28,24567.82,1672400
2021-03-12,24709.67,24794.78,24454.34,24596.19,2536400
2021-03-15,24681.3,24738.04,24284.13,24397.61,2779700
2021-03-16,24397.61,24511.08,24000.43,24057.17,2223700
2021-03-17,24085.54,24624.56,23801.85,24567.82,4346500
2021-03-18,24964.99,25702.59,24709.67,25532.38,5666500
2021-03-19,25532.38,25759.33,25362.16,25532.38,2885400
2021-03-22,25532.38,25532.38,25248.68,25333.79,2562800
2021-03-23,25248.68,25277.05,24454.34,24794.78,4549300
2021-03-24,24397.61,24567.82,23773.48,23915.33,3341900
2021-03-25,24113.91,24369.24,23801.85,23972.07,2369000
2021-03-26,23801.85,24057.17,22979.14,23886.96,2445100
2021-03-29,24113.91,24199.02,23915.33,24142.28,1347900
2021-03-30,24227.39,24425.97,24000.43,24312.5,2304200
2021-03-31,24369.24,24652.93,24284.13,24369.24,2170100
2021-04-01,24397.61,24964.99,24397.61,24936.62,3706500
2021-04-02,25191.95,25816.07,24993.36,25532.38,5794100
2021-04-05,25872.81,26043.03,25589.12,25844.44,5969400
2021-04-06,25759.33,26241.61,25560.75,25957.92,4113800
2021-04-07,25929.55,25957.92,25730.96,25844.44,2609000
2021-04-08,25872.81,25986.29,25362.16,25418.9,4412400
2021-04-09,25362.16,25418.9,24993.36,25135.21,4489700
2021-04-12,25248.68,25702.59,25021.73,25390.53,5149300
2021-04-13,25532.38,25589.12,24681.3,24766.41,3952000
2021-04-14,24681.3,25135.21,24397.61,24964.99,2839300
2021-04-15,25021.73,25078.47,24397.61,24425.97,3705100
2021-04-16,24312.5,24681.3,23745.11,23830.22,4667300
2021-04-19,23858.59,24454.34,23716.74,24397.61,3194000
2021-04-20,24454.34,24964.99,24369.24,24511.08,2676100
2021-04-22,24511.08,24511.08,23262.83,23262.83,2929700
2021-04-23,23347.94,23915.33,23177.72,23830.22,3078200
2021-04-26,23688.37,23830.22,22979.14,22979.14,3328300
2021-04-27,22979.14,23149.36,22808.92,22894.03,1978500
2021-04-28,22894.03,23206.09,22894.03,23035.88,1379200
2021-04-29,23035.88,23773.48,23035.88,23262.83,1949100
2021-05-04,22695.45,23716.74,22695.45,23433.05,2171900
2021-05-05,23660,24028.8,23546.53,23773.48,2692200
2021-05-06,23773.48,23773.48,23376.31,23404.68,2246100
2021-05-07,23035.88,23376.31,22979.14,23064.25,3706600
2021-05-10,23035.88,23546.53,22894.03,23489.79,3027800
2021-05-11,23830.22,24681.3,23716.74,23886.96,5349300
2021-05-12,23830.22,24227.39,23716.74,24199.02,3331500
2021-05-13,24142.28,24624.56,23830.22,24170.65,3483900
2021-05-14,24284.13,24397.61,24000.43,24028.8,2724600
2021-05-17,24113.91,24397.61,23660,23716.74,2992400
2021-05-18,23660,23660,23149.36,23206.09,3903100
2021-05-19,23262.83,23489.79,23035.88,23206.09,2872100
2021-05-20,23206.09,23773.48,22695.45,23745.11,3495000
2021-05-21,23830.22,25390.53,23745.11,25390.53,13027500
2021-05-24,25816.07,26326.72,25816.07,26099.76,6994100
2021-05-25,26099.76,26582.04,25787.7,26496.93,6329600
2021-05-26,26496.93,26723.89,26213.24,26468.56,7369800
2021-05-27,26553.67,26553.67,25560.75,25759.33,5862300
2021-05-28,25872.81,27064.32,25475.64,26752.26,7857000
2021-05-31,27121.06,27688.44,26950.84,27631.71,5597900
2021-06-01,27716.81,27801.92,27234.54,27234.54,4096100
2021-06-02,26837.37,27206.17,26780.63,26894.1,6043600
2021-06-03,27121.06,28085.62,26894.1,27688.44,6715400
2021-06-04,27631.71,28085.62,27234.54,27801.92,5939600
2021-06-07,27518.23,27574.97,25872.81,26553.67,5275100
2021-06-08,26610.41,26780.63,25362.16,25418.9,5685400
2021-06-09,25532.38,25929.55,24964.99,25787.7,4454300
2021-06-10,25787.7,25872.81,24908.25,24908.25,4463400
2021-06-11,24964.99,25674.22,24681.3,25645.85,6390300
2021-06-14,25787.7,25872.81,25333.79,25475.64,3394300
2021-06-15,25475.64,25617.49,24964.99,25475.64,3257000
2021-06-16,25362.16,26496.93,25078.47,25702.59,4217600
2021-06-17,25305.42,26298.35,25305.42,26043.03,3579300
2021-06-18,26241.61,26383.46,25929.55,26184.87,3200200
2021-06-21,26043.03,26099.76,25447.27,25532.38,4237600
2021-06-22,25702.59,25787.7,25475.64,25532.38,2781900
2021-06-23,25475.64,26326.72,25475.64,25759.33,2574200
2021-06-24,25759.33,26043.03,25532.38,25645.85,2110700
2021-06-25,25589.12,26099.76,25362.16,25844.44,2572300
2021-06-28,26099.76,26723.89,25901.18,26610.41,6685100
2021-06-29,26667.15,27177.8,26440.2,26610.41,3945700
2021-06-30,26610.41,26922.47,26582.04,26809,4001800
2021-07-01,26950.84,27035.95,26582.04,26837.37,4601600
2021-07-02,26950.84,27092.69,26610.41,26695.52,4204700
2021-07-05,26695.52,26695.52,25645.85,26468.56,3489500
2021-07-06,26610.41,27574.97,24964.99,24964.99,6896000
2021-07-07,25248.68,25901.18,24738.04,25816.07,3943600
2021-07-08,25816.07,26184.87,25504.01,25986.29,2127400
2021-07-09,25645.85,26099.76,24964.99,25475.64,3587800
2021-07-12,25305.42,25305.42,23716.74,23830.22,6021800
2021-07-13,24113.91,24255.76,23574.9,24057.17,1982500
2021-07-14,24113.91,24227.39,23262.83,24170.65,1788900
2021-07-15,23858.59,24482.71,23830.22,24227.39,1793200
2021-07-16,24284.13,24397.61,24113.91,24113.91,1416400
2021-07-19,23319.57,23773.48,22496.86,22496.86,2960800
2021-07-20,22525.23,23262.83,22071.32,23262.83,2713600
2021-07-21,23489.79,23489.79,22979.14,23092.62,1157700
2021-07-22,23035.88,23319.57,23035.88,23262.83,1700900
2021-07-23,23206.09,23546.53,22808.92,22808.92,1823500
2021-07-26,22695.45,22894.03,22411.75,22695.45,1436900
2021-07-27,22922.4,23149.36,22780.55,22808.92,1428900
2021-07-28,22808.92,22979.14,22695.45,22979.14,1233300
2021-07-29,23149.36,23262.83,23035.88,23262.83,1179900
2021-07-30,23433.05,23461.42,23234.46,23319.57,2031500
2021-08-02,23830.22,24369.24,23830.22,24142.28,3961400
2021-08-03,24000.43,24596.19,23886.96,24596.19,2765600
2021-08-04,24624.56,24681.3,24227.39,24397.61,2140000
2021-08-05,24170.65,24681.3,24000.43,24369.24,2116600
2021-08-06,24369.24,24624.56,24170.65,24340.87,1868300
2021-08-09,24142.28,24482.71,24028.8,24482.71,1743800
2021-08-10,24539.45,24681.3,24425.97,24567.82,1867400
2021-08-11,24567.82,25021.73,24340.87,24454.34,2739100
2021-08-12,24596.19,24624.56,24284.13,24284.13,1709400
2021-08-13,24199.02,24397.61,23716.74,24142.28,2309600
2021-08-16,24028.8,24681.3,23830.22,24567.82,3286300
2021-08-17,24738.04,24738.04,24284.13,24369.24,1565300
2021-08-18,24340.87,24397.61,24113.91,24199.02,1514500
2021-08-19,24170.65,24170.65,23915.33,24113.91,1803900
2021-08-20,24170.65,24340.87,22695.45,22979.14,4363500
2021-08-23,22979.14,23149.36,22298.28,22298.28,2742300
2021-08-24,22298.28,22525.23,22071.32,22355.02,2540900
2021-08-25,22411.75,22440.12,22128.06,22383.38,1103600
2021-08-26,22496.86,22496.86,21560.67,21901.11,2045600
2021-08-27,21844.37,22128.06,21447.2,21957.84,1906500
2021-08-30,22128.06,22411.75,22014.58,22383.38,1410200
2021-08-31,22468.49,22468.49,22099.69,22099.69,1814800
2021-09-01,22014.58,22184.8,21929.48,22128.06,1357900
2021-09-06,22156.43,22411.75,22099.69,22184.8,1364600
2021-09-07,22298.28,22808.92,22213.17,22525.23,1709800
2021-09-08,22808.92,22922.4,22411.75,22468.49,1420900
2021-09-09,22468.49,22581.97,22440.12,22581.97,839800
2021-09-10,22695.45,22695.45,22468.49,22496.86,793800
2021-09-13,22496.86,22496.86,22128.06,22213.17,1734700
2021-09-14,22184.8,22213.17,21901.11,21957.84,1415300
2021-09-15,21901.11,22128.06,21901.11,22014.58,1055100
2021-09-16,22184.8,22411.75,22156.43,22355.02,1465600
2021-09-17,22468.49,22950.77,22468.49,22695.45,1784100
2021-09-20,22723.82,22865.66,22638.71,22638.71,1957000
2021-09-21,22411.75,22581.97,22241.54,22496.86,1524100
