Date,Open,High,Low,Close,Volume
2021-01-04,5719.94,5891.54,5662.74,5834.34,7327963
2021-01-05,5777.14,5777.14,5662.74,5719.94,7046670
2021-01-06,5777.14,6120.34,5777.14,5948.74,11445066
2021-01-07,6005.94,6234.74,5891.54,6234.74,14177972
2021-01-08,6234.74,6577.93,6120.34,6520.74,9549600
2021-01-11,6406.34,7149.93,6406.34,7092.73,12659475
2021-01-12,6978.33,7207.13,6863.93,7207.13,13531973
2021-01-13,7207.13,7435.93,7035.53,7092.73,10981725
2021-01-14,7092.73,7207.13,6978.33,7149.93,7764465
2021-01-15,7149.93,7321.53,7092.73,7207.13,8071271
2021-01-18,7092.73,7207.13,6921.13,7035.53,9417963
2021-01-19,6978.33,7092.73,6005.94,6463.54,16635014
2021-01-20,6463.54,6806.73,6063.14,6749.53,11321449
2021-01-21,6749.53,7035.53,6749.53,6921.13,6412479
2021-01-22,6921.13,6978.33,6749.53,6806.73,7802673
2021-01-25,6692.33,6749.53,6520.74,6577.93,7422897
2021-01-26,6635.13,6635.13,6063.14,6291.94,11771731
2021-01-27,6291.94,6291.94,5719.94,5834.34,9153198
2021-01-28,5090.75,5834.34,5090.75,5090.75,10026116
2021-01-29,4861.95,5719.94,4461.56,5491.15,9888607
2021-02-01,5548.34,5548.34,4919.15,5147.95,5935717
2021-02-02,5090.75,5491.15,5090.75,5433.95,5362720
2021-02-03,5491.15,6063.14,5491.15,6063.14,10952394
2021-02-04,6063.14,6349.14,6063.14,6234.74,9136085
2021-02-05,6291.94,6406.34,6177.54,6291.94,6674009
2021-02-08,6291.94,6520.74,6120.34,6291.94,13854621
2021-02-09,6291.94,6520.74,6291.94,6520.74,8729550
2021-02-17,6291.94,7092.73,6291.94,7035.53,18919893
2021-02-18,7207.13,7435.93,6978.33,7092.73,23100408
2021-02-19,6978.33,7092.73,6806.73,6921.13,17605273
2021-02-22,6921.13,7035.53,6806.73,6978.33,10700535
2021-02-23,6978.33,7264.33,6978.33,7149.93,16061241
2021-02-24,7149.93,7149.93,6806.73,6921.13,16698138
2021-02-25,7035.53,7149.93,6921.13,7092.73,10129231
2021-02-26,6978.33,7092.73,6863.93,7035.53,10974313
2021-03-01,7035.53,8007.92,7035.53,7950.72,36722839
2021-03-02,7893.52,8179.52,7779.12,7950.72,18355410
2021-03-03,7893.52,8179.52,7779.12,8007.92,11209504
2021-03-04,8007.92,8923.11,8007.92,8865.91,36627073
2021-03-05,8980.31,9323.51,8808.71,9209.11,21472009
2021-03-08,9437.91,9781.1,9323.51,9380.71,19098050
2021-03-09,9380.71,9380.71,8808.71,8923.11,27603028
2021-03-10,9151.91,9266.31,8808.71,9209.11,14478519
2021-03-11,9266.31,9609.5,9209.11,9609.5,11431367
2021-03-12,9609.5,9781.1,9380.71,9437.91,10640691
2021-03-15,9552.3,9552.3,9209.11,9380.71,9718374
2021-03-16,9266.31,9323.51,8980.31,9151.91,13177348
2021-03-17,9151.91,9495.11,9037.51,9437.91,11290073
2021-03-18,9380.71,9495.11,9209.11,9380.71,8308217
2021-03-19,9323.51,9666.7,8808.71,9552.3,23500478
2021-03-22,9609.5,9952.7,9552.3,9609.5,13731597
2021-03-23,9609.5,9666.7,9323.51,9552.3,9933405
2021-03-24,9380.71,9437.91,9037.51,9380.71,19977235
2021-03-25,9437.91,9495.11,9209.11,9380.71,9565052
2021-03-26,9323.51,9380.71,8923.11,9323.51,16013626
2021-03-29,9495.11,9838.3,9380.71,9495.11,13492479
2021-03-30,9495.11,9609.5,9323.51,9437.91,9998441
2021-03-31,9437.91,10124.3,9266.31,10124.3,34894731
2021-04-01,10124.3,10353.1,9895.5,10295.9,16827977
2021-04-02,10295.9,10467.5,10124.3,10181.5,9083120
2021-04-05,10238.7,10467.5,10009.9,10295.9,18835225
2021-04-06,10181.5,10467.5,10067.1,10410.3,17500602
2021-04-07,10467.5,10524.7,10295.9,10353.1,8862516
2021-04-08,10410.3,10410.3,10067.1,10181.5,18329217
2021-04-09,10181.5,10238.7,10009.9,10181.5,9072312
2021-04-12,10124.3,10238.7,9952.7,10009.9,13360095
2021-04-13,10067.1,10067.1,8865.91,9552.3,26002911
2021-04-14,9609.5,9895.5,9380.71,9781.1,10298424
2021-04-15,9952.7,10124.3,9609.5,9609.5,10151929
2021-04-16,9609.5,9723.9,9209.11,9552.3,13482380
2021-04-19,9323.51,9609.5,9151.91,9323.51,8130447
2021-04-20,9437.91,9609.5,9266.31,9437.91,8723713
2021-04-22,9437.91,9437.91,8522.72,8522.72,17696796
2021-04-23,8522.72,8923.11,8408.32,8808.71,10953456
2021-04-26,8865.91,8980.31,8408.32,8522.72,7200762
2021-04-27,8579.91,8579.91,7893.52,8007.92,11163774
2021-04-28,8236.72,8351.12,7893.52,8179.52,7262971
2021-04-29,8236.72,8694.31,8179.52,8408.32,9375715
2021-05-04,8351.12,8351.12,8065.12,8179.52,6982006
2021-05-05,8236.72,9380.71,8236.72,9151.91,19535101
2021-05-06,8980.31,9266.31,8751.51,8808.71,10341147
2021-05-07,8751.51,8865.91,8408.32,8522.72,12270722
2021-05-10,8522.72,8865.91,8408.32,8751.51,10258054
2021-05-11,8694.31,9094.71,8637.11,8808.71,10832496
2021-05-12,8865.91,9209.11,8808.71,9094.71,16830519
2021-05-13,9151.91,9323.51,8865.91,8923.11,12815711
2021-05-14,8865.91,8980.31,8751.51,8865.91,10333479
2021-05-17,8923.11,9151.91,8694.31,8751.51,10037598
2021-05-18,8751.51,8980.31,8351.12,8865.91,13695968
2021-05-19,8808.71,8865.91,8522.72,8637.11,7008893
2021-05-20,8579.91,8637.11,8293.92,8351.12,13157000
2021-05-21,8351.12,8808.71,8122.32,8579.91,18819897
2021-05-24,8579.91,8865.91,8579.91,8808.71,8519629
2021-05-25,8865.91,9151.91,8865.91,8980.31,15444891
2021-05-26,9037.51,9037.51,8694.31,8865.91,11107893
2021-05-27,8808.71,8923.11,8465.52,8637.11,10566261
2021-05-28,8637.11,9094.71,8637.11,8980.31,21871299
2021-05-31,8980.31,9952.7,8808.71,9838.3,35549063
2021-06-01,9895.5,10238.7,9838.3,10067.1,20891459
2021-06-02,9952.7,10524.7,9952.7,10467.5,27536059
2021-06-03,10581.89,10867.89,10295.9,10467.5,25587696
2021-06-04,10467.5,12011.88,10295.9,11668.68,41879253
2021-06-07,11668.68,12126.28,11153.89,11611.48,25999830
2021-06-08,11382.69,11668.68,10124.3,10524.7,35669577
2021-06-09,10524.7,11325.49,10353.1,11039.49,30048456
2021-06-10,11039.49,11039.49,10410.3,10524.7,14815488
2021-06-11,10581.89,11211.09,10524.7,11039.49,20012447
2021-06-14,11039.49,11840.28,11039.49,11611.48,27610276
