Date,Open,High,Low,Close,Volume
2021-01-04,25413.77,25669.61,25285.85,25669.61,2151300
2021-01-05,25584.33,27076.75,25499.05,26735.62,2332200
2021-01-06,26906.19,27119.39,26565.06,26607.7,1796000
2021-01-07,26692.98,26820.91,26394.5,26650.34,2150200
2021-01-08,26863.55,27162.03,26692.98,26991.47,2720400
2021-01-11,27247.31,27588.44,26991.47,27588.44,1972800
2021-01-12,27716.36,28142.76,27289.95,28057.48,2435200
2021-01-13,28100.12,28739.73,28100.12,28355.97,2612000
2021-01-14,28355.97,28569.17,28014.84,28313.33,1777500
2021-01-15,28569.17,28569.17,28313.33,28398.61,1540400
2021-01-18,28569.17,28569.17,28228.04,28270.68,1209000
2021-01-19,28142.76,28185.4,26309.22,26437.14,3505600
2021-01-20,26735.62,27162.03,25669.61,26991.47,3663800
2021-01-21,27503.15,28057.48,26991.47,27972.2,2313100
2021-01-22,28014.84,28782.37,27886.92,28526.53,2090300
2021-01-25,28483.89,29080.85,28228.04,28569.17,3111900
2021-01-26,28782.37,28782.37,27929.56,28142.76,2597500
2021-01-27,28014.84,28185.4,26820.91,26863.55,2226800
2021-01-28,25584.33,26565.06,24987.36,24987.36,5092400
2021-01-29,25157.92,26735.62,25157.92,26735.62,3211900
2021-02-01,27460.51,27886.92,26565.06,27076.75,2017400
2021-02-02,26906.19,28142.76,26863.55,28142.76,3264600
2021-02-03,28782.37,30104.23,28185.4,29848.38,4173500
2021-02-04,29976.31,31212.88,29933.67,30914.4,4398700
2021-02-05,31127.6,31298.16,30615.91,31084.96,2084900
2021-02-08,31042.32,31084.96,29677.82,30402.71,4035600
2021-02-09,30445.35,31809.85,29848.38,31809.85,4224300
2021-02-17,32492.1,33686.03,32364.18,33216.99,3139100
2021-02-18,33216.99,33387.55,32662.66,33344.91,2243100
2021-02-19,33003.79,33259.63,32406.82,32662.66,3722700
2021-02-22,32662.66,33046.43,32449.46,32747.94,2319300
2021-02-23,32534.74,32833.22,31809.85,32193.62,3369500
2021-02-24,32406.82,32620.02,31937.77,32150.97,2225200
2021-02-25,32449.46,32534.74,31767.21,32492.1,1927500
2021-02-26,31980.41,32577.38,31937.77,32492.1,1936000
2021-03-01,32790.58,33259.63,32747.94,33216.99,2078100
2021-03-02,33643.39,33643.39,32790.58,33216.99,1821700
2021-03-03,33259.63,33302.27,33003.79,33131.71,1599400
2021-03-04,33131.71,33174.35,32023.05,32364.18,2901500
2021-03-05,32236.26,32406.82,31767.21,32364.18,2507500
2021-03-08,32406.82,32620.02,32150.97,32321.54,1656600
2021-03-09,31980.41,32278.9,31767.21,31980.41,2182400
2021-03-10,32364.18,33046.43,31980.41,32534.74,2602400
2021-03-11,32620.02,32875.86,32449.46,32705.3,1477800
2021-03-12,32833.22,32875.86,32534.74,32620.02,2062800
2021-03-15,32662.66,33046.43,32449.46,32620.02,1760900
2021-03-16,32833.22,34752.05,32662.66,34538.85,5111000
2021-03-17,34752.05,34752.05,34112.44,34453.56,1603200
2021-03-18,34538.85,34538.85,34112.44,34538.85,1807500
2021-03-19,34112.44,34325.64,33856.6,34027.16,2247800
2021-03-22,33899.24,33941.88,33387.55,33558.11,2084800
2021-03-23,33472.83,34112.44,33387.55,33600.75,2201700
2021-03-24,33216.99,33643.39,32620.02,32833.22,2480100
2021-03-25,33046.43,33046.43,32620.02,32662.66,2305400
2021-03-26,32577.38,32747.94,31767.21,32449.46,2672600
2021-03-29,32620.02,33302.27,32449.46,33089.07,1997700
2021-03-30,33174.35,33259.63,32833.22,32875.86,1512500
2021-03-31,32875.86,33302.27,32662.66,33131.71,1373400
2021-04-01,33216.99,33984.52,33216.99,33984.52,2500900
2021-04-02,34283,34325.64,34027.16,34027.16,1950200
2021-04-05,34283,34325.64,33643.39,33941.88,1487000
2021-04-06,33728.67,34112.44,33728.67,33856.6,1505800
2021-04-07,33771.32,33984.52,33728.67,33941.88,1503800
2021-04-08,34197.72,34368.28,33899.24,33941.88,1609800
2021-04-09,34069.8,35391.66,34069.8,35007.89,3970400
2021-04-12,35135.81,35135.81,34752.05,35007.89,2022500
2021-04-13,34965.25,35050.53,34325.64,34410.92,2038100
2021-04-14,34112.44,34538.85,33899.24,34538.85,2530600
2021-04-15,34538.85,34709.41,34027.16,34112.44,2096200
2021-04-16,34027.16,34624.13,33600.75,33984.52,2194600
2021-04-19,34112.44,34752.05,33899.24,34752.05,2380800
2021-04-20,34879.97,36201.83,34794.69,35349.02,4742800
2021-04-22,35007.89,35775.42,34112.44,34112.44,2271200
2021-04-23,34112.44,35391.66,33984.52,35391.66,3166400
2021-04-26,35178.45,35306.38,34325.64,34538.85,2551300
2021-04-27,34283,34709.41,34155.08,34410.92,1287100
2021-04-28,34155.08,34666.77,34155.08,34453.56,1366700
2021-04-29,34453.56,34879.97,34453.56,34496.2,2095500
2021-05-04,34112.44,35604.86,34112.44,35349.02,2362100
2021-05-05,35860.7,36031.26,35263.73,35349.02,2321300
2021-05-06,35391.66,35604.86,35050.53,35263.73,1969000
2021-05-07,35263.73,35818.06,35093.17,35391.66,2705900
2021-05-10,35434.3,36670.87,35391.66,36585.59,4504300
2021-05-11,36670.87,36926.72,36329.75,36329.75,2078700
2021-05-12,36244.47,36415.03,35945.98,36415.03,1844500
2021-05-13,36244.47,36415.03,35818.06,35818.06,2558300
2021-05-14,35945.98,36756.15,35860.7,36159.19,1858700
2021-05-17,36585.59,36926.72,36329.75,36542.95,1744500
2021-05-18,36841.44,37267.84,36756.15,37097.28,2133500
2021-05-19,37310.48,38845.54,37012,38717.62,2876300
2021-05-20,38717.62,40721.73,38547.06,40721.73,3523900
2021-05-21,40210.04,41190.77,39655.71,39996.84,3222700
2021-05-24,39996.84,40039.48,39271.95,39868.91,2669500
2021-05-25,39868.91,40593.8,39570.43,39996.84,2156300
2021-05-26,40167.4,40721.73,39954.2,40636.44,1992800
2021-05-27,40636.44,40679.08,39868.91,39996.84,1745800
2021-05-28,40210.04,40508.52,39954.2,40423.24,1874300
2021-05-31,40721.73,41787.74,40380.6,41745.1,3237700
2021-06-01,43547.16,43844.41,43101.29,43150.83,3495000
2021-06-02,43150.83,43349,42110.45,42358.16,3053900
2021-06-03,42110.45,42308.62,41763.66,42209.54,3190800
2021-06-04,42110.45,42160,41515.95,41961.83,3820600
2021-06-07,41912.29,41961.83,40128.79,40970.99,3711200
2021-06-08,40624.2,41119.62,39930.62,40029.7,3486000
2021-06-09,39930.62,40673.74,39137.95,40475.58,3576100
2021-06-10,40475.58,40871.91,40128.79,40574.66,2214900
2021-06-11,40376.49,41565.49,40277.41,41367.33,2359600
2021-06-14,41317.79,41912.29,41119.62,41515.95,2547600
2021-06-15,41515.95,41862.75,41218.7,41218.7,1778700
2021-06-16,41268.24,41912.29,40970.99,41169.16,2462000
2021-06-17,40673.74,41169.16,40673.74,40921.45,2236400
2021-06-18,41169.16,41714.12,40970.99,41515.95,1681700
2021-06-21,41416.87,42754.5,41218.7,42407.7,3878300
2021-06-22,42655.41,42903.12,42308.62,42308.62,1760300
2021-06-23,42259.08,42407.7,41664.58,42060.91,1599900
2021-06-24,42060.91,42060.91,41565.49,41961.83,1657800
2021-06-25,41961.83,42308.62,41714.12,42209.54,1503400
2021-06-28,42605.87,42655.41,42308.62,42457.25,1858800
2021-06-29,42903.12,44092.12,42754.5,43893.96,4897800
2021-06-30,44092.12,44141.66,43596.7,43596.7,1651100
2021-07-01,43646.25,44042.58,43596.7,44042.58,1700100
2021-07-02,44240.75,45826.08,44042.58,45528.83,3873500
2021-07-05,47064.62,47064.62,45082.96,45925.17,2934200
2021-07-06,45826.08,46073.79,43101.29,43101.29,2640500
2021-07-07,43101.29,45082.96,42110.45,44835.25,4910200
2021-07-08,44785.71,44835.25,44092.12,44488.46,2375400
2021-07-09,44389.37,45578.37,43993.04,44438.91,2947000
2021-07-12,43993.04,44438.91,41416.87,42655.41,6764400
2021-07-13,43051.75,43249.91,42110.45,43101.29,2207400
2021-07-14,43398.54,43398.54,41961.83,42209.54,2433500
2021-07-15,41961.83,42903.12,41961.83,42308.62,2714600
2021-07-16,42556.33,43596.7,42358.16,43002.2,2285700
2021-07-19,42209.54,42804.04,41862.75,41961.83,3288800
2021-07-20,42011.37,43002.2,41565.49,43002.2,2553700
2021-07-21,43002.2,43547.16,42655.41,42903.12,3369200
2021-07-22,42704.95,44389.37,42704.95,44290.29,4445600
2021-07-23,44290.29,46024.25,43943.5,44835.25,6755700
2021-07-26,44736.16,46519.67,44686.62,46420.58,5773100
2021-07-27,46767.37,47015.08,45826.08,46172.87,5007000
2021-07-28,45974.71,46420.58,45429.75,45578.37,3346700
2021-07-29,45578.37,46519.67,45429.75,46271.96,3712900
2021-07-30,46321.5,46965.54,45974.71,46569.21,4525900
2021-08-02,46569.21,47857.29,46569.21,47361.87,4275900
2021-08-03,47460.96,47560.04,46916,47460.96,3607200
2021-08-04,47510.5,47659.13,47015.08,47361.87,2818400
2021-08-05,47163.71,48055.46,47015.08,47857.29,2485600
2021-08-06,47956.38,48154.54,47460.96,47857.29,3413900
2021-08-09,48055.46,48402.25,47510.5,48303.17,2934500
2021-08-10,48699.5,48749.04,48352.71,48451.79,2680700
2021-08-11,48402.25,48451.79,47609.58,47609.58,4883200
2021-08-12,47460.96,47560.04,46271.96,46470.12,8399400
2021-08-13,46123.33,47064.62,46073.79,47064.62,3618700
2021-08-16,47564.05,47664.18,47263.64,47363.78,1906800
2021-08-17,47113.44,47363.78,46813.04,46963.24,2801700
2021-08-18,46963.24,47513.98,46963.24,47063.37,1951000
2021-08-19,47564.05,47564.05,46963.24,47313.71,2721600
2021-08-20,47313.71,47413.84,45611.42,46462.56,4349300
2021-08-23,46312.36,46312.36,45561.35,45561.35,3436600
2021-08-24,45811.69,46062.02,45010.61,46011.96,3081500
2021-08-25,46262.29,46262.29,45561.35,46011.96,1344000
2021-08-26,46062.02,46512.63,45661.49,45761.62,1758700
2021-08-27,45561.35,46062.02,45361.08,46062.02,1896200
2021-08-30,46562.7,46562.7,46112.09,46162.16,1494800
2021-08-31,46212.23,46662.83,46062.02,46262.29,1952500
2021-09-01,46112.09,46562.7,46112.09,46262.29,1353300
2021-09-06,46262.29,47513.98,46212.23,47513.98,3124600
2021-09-07,47714.25,47714.25,46813.04,46813.04,2290600
2021-09-08,46813.04,47163.51,46462.56,46612.77,1453800
2021-09-09,46612.77,47013.31,46462.56,46662.83,1393700
2021-09-10,46762.97,47263.64,46762.97,46813.04,1440100
2021-09-13,46863.1,47063.37,46512.63,46562.7,1600000
2021-09-14,46712.9,47413.84,46562.7,46963.24,2523200
2021-09-15,46963.24,47263.64,46712.9,47113.44,1690100
2021-09-16,47263.64,47564.05,47163.51,47413.84,1924700
2021-09-17,47814.38,48565.4,47764.32,47914.52,3325700
2021-09-20,48064.72,48164.86,47113.44,47263.64,2526100
2021-09-21,46762.97,47063.37,46312.36,46813.04,2697100
2021-09-22,46662.83,46762.97,46412.5,46662.83,2027200
2021-09-23,46662.83,46963.24,46562.7,46612.77,1394200
2021-09-24,46662.83,46662.83,46412.5,46412.5,1449000
2021-09-27,46512.63,46813.04,46112.09,46112.09,1546100
2021-09-28,45911.82,46562.7,45811.69,46562.7,1393500
2021-09-29,46562.7,46762.97,46212.23,46662.83,1177400
2021-09-30,46813.04,47013.31,46562.7,46562.7,996900
2021-10-01,46512.63,46612.77,46312.36,46512.63,1055400
2021-10-04,46562.7,47664.18,46262.29,47363.78,2277800
2021-10-05,47564.05,48064.72,47263.64,47263.64,1392800
2021-10-06,47313.71,47413.84,46913.17,47263.64,1571300
2021-10-07,47513.98,47564.05,47113.44,47213.58,1497000
2021-10-08,47564.05,49817.08,47263.64,49516.68,8305600
2021-10-11,49566.74,49716.95,49216.27,49666.88,2295500
2021-10-12,49666.88,49666.88,49316.41,49566.74,1125300
2021-10-13,49566.74,50818.43,49316.41,49767.01,3232500
2021-10-14,49767.01,50067.42,49266.34,49466.61,1824200
2021-10-15,49767.01,50117.49,49266.34,49516.68,1702500
2021-10-18,49566.74,50067.42,49366.47,49566.74,2264100
2021-10-19,49566.74,49817.08,49366.47,49366.47,1534300
2021-10-20,49416.54,49817.08,48365.13,48865.8,2248600
2021-10-21,49266.34,49316.41,48415.19,48415.19,2283600
2021-10-22,48565.4,48765.67,48114.79,48164.86,2023400
2021-10-25,48164.86,48164.86,47513.98,47513.98,2938500
2021-10-26,47564.05,48515.33,47213.58,48515.33,1855700
2021-10-27,48465.26,49166.2,48315.06,49166.2,2326700
2021-10-28,49166.2,49266.34,48665.53,49066.07,1644700
2021-10-29,49066.07,49066.07,48515.33,48515.33,2382700
2021-11-01,48765.67,48765.67,47864.45,47964.59,2855800
2021-11-02,47814.38,48565.4,47814.38,48114.79,2109100
2021-11-03,48164.86,48415.19,47664.18,48114.79,2680100
2021-11-04,48114.79,48465.26,47914.52,48064.72,1761300
2021-11-05,48164.86,48965.93,48064.72,48865.8,2169900
2021-11-08,48865.8,49316.41,48715.6,48765.67,1687900
2021-11-09,48815.73,48865.8,48064.72,48264.99,1845900
2021-11-10,48264.99,48565.4,48014.65,48565.4,1592400
2021-11-11,48565.4,49066.07,47964.59,48064.72,2122200
2021-11-12,48164.86,49166.2,48014.65,49066.07,2240300
2021-11-15,49316.41,49316.41,48715.6,48715.6,1908900
2021-11-16,48715.6,49817.08,48465.26,49216.27,3506200
2021-11-17,49216.27,49266.34,49066.07,49216.27,1186200
2021-11-18,49216.27,49416.54,48315.06,48315.06,2005000
2021-11-19,48815.73,48965.93,47614.11,47714.25,2481300
2021-11-22,47814.38,48064.72,47564.05,47564.05,1670100
2021-11-23,47564.05,48365.13,47513.98,48365.13,1150800
2021-11-24,48415.19,49266.34,48264.99,49016,2445600
2021-11-25,49316.41,50968.63,49216.27,50067.42,5487400
