Date,Open,High,Low,Close,Volume
2021-01-04,15785.37,16180.47,15672.48,15917.07,15832600
2021-01-05,15728.93,16105.22,15691.3,15935.89,18634100
2021-01-06,15992.33,16293.36,15917.07,16105.22,17948600
2021-01-07,16236.92,16255.73,15898.26,16105.22,21780700
2021-01-08,16142.85,16293.36,16029.96,16086.4,19978500
2021-01-11,16218.1,16293.36,16029.96,16199.29,16645100
2021-01-12,16255.73,16895.43,16142.85,16895.43,22738800
2021-01-13,17045.94,17102.39,16707.28,16820.17,16131800
2021-01-14,16820.17,16820.17,16500.32,16726.1,17527000
2021-01-15,16726.1,16951.87,16669.65,16744.91,14788300
2021-01-18,16744.91,16876.61,16650.84,16782.54,18112900
2021-01-19,16744.91,16782.54,15616.04,15653.67,25778200
2021-01-20,15804.18,16161.66,15051.6,15691.3,37915600
2021-01-21,16124.03,16632.02,15728.93,16632.02,20829700
2021-01-22,16669.65,16820.17,16387.43,16425.06,14798600
2021-01-25,16274.55,17102.39,16218.1,16443.88,33091200
2021-01-26,16406.25,16406.25,15653.67,15917.07,24099500
2021-01-27,15578.41,15954.7,14863.46,15164.49,28056100
2021-01-28,14148.51,14694.13,14110.88,14110.88,49934800
2021-01-29,13922.73,15032.79,13922.73,14731.76,40248000
2021-02-01,14675.31,14995.16,14374.28,14430.73,21323900
2021-02-02,14487.17,15239.75,14393.1,15239.75,28541100
2021-02-03,15503.15,15935.89,15427.89,15804.18,34839600
2021-02-04,15804.18,15879.44,15634.85,15728.93,22252900
2021-02-05,15785.37,16067.59,15691.3,15992.33,23371200
2021-02-08,15954.7,16029.96,15051.6,15390.27,32918400
2021-02-09,15390.27,15766.56,15220.94,15728.93,26164800
2021-02-17,15973.52,16349.81,15917.07,16349.81,24253200
2021-02-18,16330.99,16556.76,16161.66,16500.32,21343800
2021-02-19,16293.36,16519.14,16218.1,16349.81,17007500
2021-02-22,16368.62,16707.28,16180.47,16330.99,21362500
2021-02-23,16255.73,16462.69,16161.66,16293.36,17921700
2021-02-24,16425.06,16707.28,16293.36,16406.25,27282600
2021-02-25,16519.14,16707.28,16425.06,16613.21,21931700
2021-02-26,16443.88,17196.46,16406.25,17158.83,40928500
2021-03-01,17422.23,17422.23,17234.09,17384.6,21998200
2021-03-02,17610.38,17723.26,17384.6,17572.75,23670800
2021-03-03,17516.3,17704.45,17497.49,17610.38,22262900
2021-03-04,17648.01,17648.01,16933.06,17271.72,27962100
2021-03-05,17177.64,17346.97,16970.68,17309.35,21396800
2021-03-08,17535.12,17648.01,17309.35,17422.23,17777700
2021-03-09,17309.35,17384.6,16951.87,17252.9,16289800
2021-03-10,17234.09,17252.9,16989.5,17158.83,15772500
2021-03-11,17271.72,17553.93,17234.09,17459.86,15569400
2021-03-12,17535.12,17535.12,17384.6,17478.68,12153700
2021-03-15,17535.12,17648.01,17459.86,17497.49,11905100
2021-03-16,17535.12,17535.12,17234.09,17346.97,14097300
2021-03-17,17365.79,17478.68,17328.16,17422.23,12191800
2021-03-18,17572.75,17591.56,17441.05,17535.12,11166600
2021-03-19,17535.12,17854.97,17535.12,17742.08,18392100
2021-03-22,17798.52,17854.97,17572.75,17591.56,11047900
2021-03-23,17553.93,17723.26,17459.86,17535.12,12487200
2021-03-24,17328.16,17441.05,16970.68,17102.39,23653500
2021-03-25,17196.46,17215.27,16857.8,16933.06,19929000
2021-03-26,17121.2,17384.6,16951.87,17384.6,28109800
2021-03-29,17497.49,17535.12,17365.79,17422.23,13251900
2021-03-30,17497.49,17591.56,17346.97,17478.68,13333800
2021-03-31,17478.68,17817.34,17441.05,17610.38,16323700
2021-04-01,17704.45,18250.07,17666.82,18250.07,27681900
2021-04-02,18344.14,18551.1,18287.7,18457.03,16678500
2021-04-05,18626.36,18663.99,18419.4,18551.1,15377800
2021-04-06,18551.1,18645.18,18475.84,18588.73,14033300
2021-04-07,18588.73,18663.99,18400.59,18607.55,14407800
2021-04-08,18626.36,18663.99,18438.22,18569.92,11970000
2021-04-09,18551.1,18776.88,18457.03,18645.18,15623400
2021-04-12,18776.88,19378.94,18720.43,19266.05,27010400
2021-04-13,19378.94,19378.94,18852.13,18852.13,26956900
2021-04-14,18852.13,20056.26,18776.88,19943.38,28753300
2021-04-15,20131.52,20583.07,19755.23,20507.81,32078100
2021-04-16,20357.3,20959.36,20131.52,20545.44,28433700
2021-04-19,20771.21,21749.57,20583.07,21749.57,34808100
2021-04-20,21824.83,22050.6,21072.25,21523.79,37829300
2021-04-22,21298.02,21787.2,20695.96,20695.96,33049800
2021-04-23,20884.1,21222.76,20620.7,21222.76,28493500
2021-04-26,21260.39,21298.02,20695.96,20733.59,25156400
2021-04-27,20733.59,21222.76,20470.18,21185.13,21294400
2021-04-28,21185.13,21260.39,20884.1,21072.25,15619100
2021-04-29,21260.39,22088.23,21222.76,21862.46,27877700
2021-05-04,21561.42,22727.92,21448.54,22502.15,32996000
2021-05-05,22577.41,22690.29,22314,22314,24468200
2021-05-06,22314,22690.29,22125.86,22351.63,21609700
2021-05-07,22314,23141.84,22238.75,22878.44,29552700
2021-05-10,22916.07,23819.16,22878.44,23706.28,28160100
2021-05-11,23819.16,23819.16,23329.99,23329.99,29565200
2021-05-12,23179.47,23593.39,23066.58,23593.39,29316300
2021-05-13,23480.5,23706.28,23141.84,23141.84,24654400
2021-05-14,23329.99,23518.13,22953.7,23104.21,31815400
2021-05-17,23104.21,23480.5,22803.18,23292.36,34004200
2021-05-18,23518.13,23969.68,23518.13,23856.79,39146300
2021-05-19,24082.57,25098.55,23894.42,24872.78,28407500
2021-05-20,24910.41,25098.55,24647,25060.92,21552100
2021-05-21,24872.78,24985.66,24609.37,24684.63,22951900
2021-05-24,24684.63,24872.78,24458.86,24609.37,23592200
2021-05-25,24609.37,25512.47,24534.12,25361.95,22689000
2021-05-26,25361.95,25512.47,25286.7,25512.47,15485000
2021-05-27,25474.84,25512.47,24910.41,25136.18,19165200
2021-05-28,25249.07,25324.32,24910.41,25249.07,30138100
2021-05-31,26972.92,26972.92,26512.28,26972.92,60309100
2021-06-01,27945.38,28815.47,27638.28,28406.01,33413400
2021-06-02,28150.1,28406.01,27126.46,27638.28,40000100
2021-06-03,27638.28,27945.38,27126.46,27791.83,36969900
2021-06-04,27894.19,28303.65,27791.83,27894.19,31679400
2021-06-07,27945.38,28150.1,26614.64,26972.92,34653300
2021-06-08,26768.19,27075.28,25591,25591,38486300
2021-06-09,25539.82,26307.55,25079.18,25744.55,40956800
2021-06-10,26102.82,26921.74,25591,26409.92,29312900
2021-06-11,26665.83,27228.83,26409.92,27177.65,29030300
2021-06-14,27382.37,27791.83,27024.1,27433.56,28587500
2021-06-15,27126.46,27433.56,26972.92,27228.83,21707700
2021-06-16,27075.28,27126.46,26358.73,26512.28,28929200
2021-06-17,26051.64,26563.46,26051.64,26307.55,20215900
2021-06-18,26563.46,27280.01,26307.55,26665.83,28992700
2021-06-21,26665.83,26870.55,26205.19,26205.19,22610800
2021-06-22,26256.37,26819.37,26205.19,26461.1,18459100
2021-06-23,26409.92,26563.46,26154.01,26307.55,18559200
2021-06-24,26307.55,26461.1,25846.91,25898.1,19985600
2021-06-25,25949.28,26205.19,25488.64,25949.28,26191200
2021-06-28,26256.37,26870.55,26000.46,26819.37,39158500
2021-06-29,26870.55,26921.74,26461.1,26512.28,19830300
2021-06-30,26512.28,26717.01,26307.55,26358.73,18899100
2021-07-01,26461.1,27075.28,26409.92,27024.1,39670000
2021-07-02,27126.46,27331.19,26717.01,26768.19,30058700
2021-07-05,26768.19,26768.19,26000.46,26205.19,37065500
2021-07-06,26154.01,26717.01,24567.36,24567.36,48216300
2021-07-07,25079.18,25539.82,24490.59,25539.82,40552700
2021-07-08,25539.82,25642.19,24874.46,25079.18,30632700
2021-07-09,24823.27,25130.37,23543.72,24209.09,46892600
2021-07-12,23902,24004.36,22520.08,23006.31,75500300
2021-07-13,23287.81,23543.72,22801.58,23287.81,25498600
2021-07-14,23492.54,23543.72,22699.22,23031.9,27431000
2021-07-15,22827.17,23978.77,22827.17,23799.63,28546500
2021-07-16,23902,24285.86,23799.63,23927.59,22253900
2021-07-19,23364.59,23492.54,22520.08,22673.63,39426100
2021-07-20,23031.9,24209.09,22750.4,24209.09,40965600
2021-07-21,24311.45,24465,23850.82,23927.59,21335700
2021-07-22,23902,24413.82,23697.27,24157.91,21494600
2021-07-23,23953.18,24055.54,23441.36,23441.36,28904400
2021-07-26,23287.81,23594.91,22852.77,23339,23485200
2021-07-27,23543.72,23953.18,23390.18,23646.09,18206300
2021-07-28,23697.27,24106.73,23646.09,23902,21215200
2021-07-29,24029.95,24413.82,23953.18,24106.73,32783300
2021-07-30,24106.73,24362.64,24106.73,24209.09,23016300
2021-08-02,24106.73,24516.18,24004.36,24183.5,24207000
2021-08-03,24209.09,24388.23,23927.59,24183.5,28297300
2021-08-04,24337.04,24567.36,24183.5,24311.45,24329100
2021-08-05,24285.86,25079.18,24234.68,24976.82,29704100
2021-08-06,24874.46,25130.37,24720.91,24772.09,20101800
2021-08-09,24618.55,25437.46,24541.77,25437.46,30419600
2021-08-10,25642.19,25846.91,25130.37,25283.91,23318400
2021-08-11,25488.64,25488.64,25053.59,25053.59,21895900
2021-08-12,25028,25079.18,24772.09,24772.09,21547600
2021-08-13,24772.09,24925.64,24413.82,24900.05,25809500
2021-08-16,25079.18,25335.09,25053.59,25309.5,22222700
2021-08-17,25411.87,26051.64,25386.28,25795.73,45483400
2021-08-18,25846.91,26051.64,25539.82,25795.73,20163600
2021-08-19,25898.1,26256.37,25795.73,26051.64,27506300
2021-08-20,26000.46,26102.82,24669.73,25079.18,49333500
2021-08-23,25079.18,25079.18,24311.45,24311.45,32825800
2021-08-24,24362.64,24695.32,24311.45,24439.41,21929400
2021-08-25,24541.77,24823.27,24260.27,24772.09,16402800
2021-08-26,24874.46,24874.46,24337.04,24413.82,13857800
2021-08-27,24311.45,24490.59,23927.59,24362.64,24491000
2021-08-30,24567.36,24951.23,24388.23,24925.64,17004600
2021-08-31,25079.18,25437.46,24976.82,25232.73,25872600
2021-09-01,25079.18,25360.68,25028,25181.55,15066500
2021-09-06,25335.09,26307.55,25283.91,26205.19,48098900
2021-09-07,26409.92,26614.64,25898.1,25949.28,31246800
2021-09-08,25949.28,26563.46,25795.73,26256.37,33040000
2021-09-09,26409.92,26819.37,26358.73,26563.46,36718200
2021-09-10,26614.64,26717.01,26307.55,26358.73,17217900
2021-09-13,26358.73,26358.73,25949.28,26000.46,27227400
2021-09-14,26000.46,26102.82,25693.37,25744.55,22432900
