Date,Open,High,Low,Close,Volume
2021-01-04,7522.39,7827.78,7425.95,7699.2,42370800
2021-01-05,7763.49,8084.96,7699.2,8084.96,34044900
2021-01-06,8197.47,8358.21,8036.74,8133.18,22063300
2021-01-07,8181.4,8342.13,8117.11,8326.06,18918200
2021-01-08,8374.28,8792.19,8358.21,8551.09,25861800
2021-01-11,8679.68,8743.97,8422.5,8470.72,23381600
2021-01-12,8470.72,8518.94,8261.77,8406.43,16552100
2021-01-13,8406.43,8551.09,8326.06,8358.21,18649800
2021-01-14,8454.65,8486.8,8309.99,8486.8,20138800
2021-01-15,8583.24,8743.97,8535.02,8599.31,19922700
2021-01-18,8599.31,8631.46,8422.5,8422.5,13838300
2021-01-19,8422.5,8422.5,7843.86,7843.86,22184900
2021-01-20,7843.86,7956.37,7361.65,7843.86,23198100
2021-01-21,8036.74,8293.91,7843.86,8293.91,14714600
2021-01-22,8229.62,8342.13,8133.18,8229.62,12400500
2021-01-25,8133.18,8293.91,8084.96,8101.03,10924900
2021-01-26,8084.96,8229.62,7634.9,8229.62,19797100
2021-01-27,7972.44,8117.11,7667.05,7715.27,22798000
2021-01-28,7233.06,7393.8,7184.84,7184.84,20362200
2021-01-29,6847.3,7554.53,6847.3,7538.46,19607700
2021-02-01,7393.8,7554.53,7056.26,7072.33,16163000
2021-02-02,7233.06,7522.39,7056.26,7506.31,14396700
2021-02-03,7602.75,7827.78,7522.39,7795.64,19837900
2021-02-04,7795.64,7827.78,7650.98,7731.34,11089600
2021-02-05,7779.56,7972.44,7731.34,7956.37,11885000
2021-02-08,7972.44,8101.03,7667.05,7683.12,22263700
2021-02-09,7715.27,7956.37,7650.98,7956.37,15933800
2021-02-17,8101.03,8293.91,8036.74,8293.91,18470000
2021-02-18,8358.21,8454.65,8229.62,8422.5,23346000
2021-02-19,8358.21,8808.27,8293.91,8631.46,30003300
2021-02-22,8631.46,8727.9,8454.65,8583.24,19791100
2021-02-23,8599.31,8840.41,8551.09,8808.27,31587900
2021-02-24,8872.56,8936.85,8647.53,8679.68,19888900
2021-02-25,8776.12,8824.34,8631.46,8776.12,17887600
2021-02-26,8615.38,8936.85,8583.24,8888.63,22352200
2021-03-01,9017.22,9145.81,8969,9113.66,22065400
2021-03-02,9210.1,9226.18,9001.15,9033.29,14005100
2021-03-03,9001.15,9129.74,8969,9001.15,16468900
2021-03-04,9001.15,9065.44,8647.53,8727.9,23153000
2021-03-05,8727.9,8840.41,8615.38,8792.19,19035300
2021-03-08,8904.71,8952.93,8760.05,8872.56,14809500
2021-03-09,8743.97,8856.49,8679.68,8776.12,12179900
2021-03-10,8808.27,9033.29,8711.82,8985.07,21590100
2021-03-11,9097.59,9161.88,9033.29,9081.51,16459200
2021-03-12,9129.74,9145.81,9049.37,9081.51,16339100
2021-03-15,9129.74,9290.47,9065.44,9290.47,23273400
2021-03-16,9354.76,9370.84,9113.66,9210.1,12749900
2021-03-17,9210.1,9322.62,9210.1,9322.62,14185100
2021-03-18,9419.06,9435.13,9322.62,9386.91,13051200
2021-03-19,9322.62,9435.13,9322.62,9386.91,9917000
2021-03-22,9386.91,9402.98,9161.88,9210.1,15628700
2021-03-23,9210.1,9226.18,9081.51,9113.66,15105300
2021-03-24,9001.15,9049.37,8808.27,8872.56,16076400
2021-03-25,8904.71,9001.15,8840.41,8856.49,13199800
2021-03-26,8776.12,8920.78,8599.31,8840.41,14311100
2021-03-29,8888.63,9097.59,8840.41,9081.51,16883500
2021-03-30,9097.59,9226.18,8985.07,9097.59,13184900
2021-03-31,9113.66,9177.96,9033.29,9049.37,10510400
2021-04-01,9097.59,9386.91,9065.44,9386.91,19588200
2021-04-02,9515.5,9547.65,9402.98,9515.5,17890400
2021-04-05,9724.45,9772.67,9579.79,9772.67,26102300
2021-04-06,9869.11,10110.22,9804.82,10094.14,33236600
2021-04-07,10126.29,10303.1,10110.22,10222.73,23620400
2021-04-08,10222.73,10222.73,9965.56,10029.85,22368700
2021-04-09,9997.7,10110.22,9917.34,10078.07,16904800
2021-04-12,10158.44,10206.66,10078.07,10174.51,16624100
2021-04-13,10222.73,10222.73,9933.41,9997.7,22558600
2021-04-14,9901.26,10078.07,9836.97,10045.92,15096700
2021-04-15,10045.92,10045.92,9820.89,9836.97,18900600
2021-04-16,9772.67,9853.04,9579.79,9708.38,17708300
2021-04-19,9788.75,9901.26,9628.01,9804.82,13993700
2021-04-20,9869.11,9965.56,9676.23,9804.82,12942400
2021-04-22,9772.67,9804.82,9386.91,9386.91,13234000
2021-04-23,9386.91,9740.53,9354.76,9740.53,16710100
2021-04-26,9740.53,9740.53,9483.35,9515.5,14253600
2021-04-27,9531.57,9628.01,9386.91,9515.5,10054300
2021-04-28,9515.5,9901.26,9515.5,9724.45,17389600
2021-04-29,9804.82,9949.48,9756.6,9756.6,18937600
2021-05-04,9515.5,10078.07,9515.5,10045.92,24397100
2021-05-05,10126.29,10415.61,10126.29,10190.58,25875400
2021-05-06,10190.58,10319.17,10078.07,10158.44,18915500
2021-05-07,10062,10190.58,10029.85,10158.44,24764800
2021-05-10,10158.44,10753.16,10142.36,10672.79,36389900
2021-05-11,10672.79,10737.08,10512.05,10512.05,20385100
2021-05-12,10463.83,10672.79,10431.69,10672.79,21106000
2021-05-13,10544.2,10865.67,10544.2,10592.42,26896800
2021-05-14,10704.94,10737.08,10560.27,10608.49,21651900
2021-05-17,10737.08,10769.23,10544.2,10576.35,19181800
2021-05-18,10560.27,10769.23,10479.91,10704.94,23037800
2021-05-19,10833.52,11090.7,10737.08,11090.7,29370700
2021-05-20,11154.99,11171.07,11010.33,11090.7,17314900
2021-05-21,11058.55,11331.8,11010.33,11138.92,19882300
2021-05-24,11187.14,11251.43,11058.55,11171.07,20486500
2021-05-25,11187.14,11508.61,11171.07,11508.61,22789800
2021-05-26,11814.01,12055.11,11765.79,12055.11,33671000
2021-05-27,12055.11,12135.48,11588.98,11733.64,28188800
2021-05-28,11765.79,12119.4,11637.2,12119.4,26378900
2021-05-31,12215.84,12312.28,11894.37,12215.84,30395700
2021-06-01,12408.72,12489.09,12247.99,12280.14,16331400
2021-06-02,12183.7,12440.87,12087.25,12376.58,23682500
2021-06-03,12858.78,13228.47,12810.56,13228.47,29087000
2021-06-04,13244.55,13726.75,13212.4,13357.06,32896100
2021-06-07,13340.99,13340.99,12537.31,12778.41,30845500
2021-06-08,12698.05,12842.71,11926.52,11990.81,29808700
2021-06-09,11926.52,12473.02,11814.01,12392.65,30626600
2021-06-10,12376.58,12521.24,12119.4,12183.7,15556800
2021-06-11,12280.14,12842.71,12135.48,12665.9,24998200
2021-06-14,12698.05,12826.63,12505.17,12633.75,24587000
2021-06-15,12633.75,12842.71,12424.8,12633.75,24890500
2021-06-16,12617.68,12714.12,12424.8,12440.87,20702200
2021-06-17,12215.84,12858.78,12183.7,12826.63,25763900
2021-06-18,13180.25,13180.25,13003.44,13035.59,26023700
2021-06-21,12987.37,13164.18,12890.93,13067.74,18818600
2021-06-22,13180.25,13646.38,13148.1,13501.72,35453700
2021-06-23,13582.09,13646.38,13340.99,13469.57,23680200
