Date,Open,High,Low,Close,Volume
2021-01-04,14943.93,16035.34,14943.93,15783.48,14073416
2021-01-05,15699.53,15867.43,15447.66,15699.53,10004800
2021-01-06,15867.43,16371.16,15615.57,16035.34,12663162
2021-01-07,16119.3,16958.85,15699.53,16874.89,13315270
2021-01-08,16874.89,17630.48,16623.03,17210.71,11014376
2021-01-11,17378.62,18134.21,17378.62,17630.48,10435634
2021-01-12,17798.39,17882.35,17042.8,17546.53,11628598
2021-01-13,17714.44,18134.21,17042.8,17210.71,15483026
2021-01-14,17210.71,17546.53,17042.8,17462.57,7624439
2021-01-15,17546.53,18302.12,17462.57,18134.21,13936077
2021-01-18,18134.21,18302.12,17462.57,17546.53,12172928
2021-01-19,17546.53,17714.44,15867.43,15867.43,17011828
2021-01-20,15951.39,16706.98,14859.98,16539.07,14178148
2021-01-21,16623.03,17210.71,16455.12,17042.8,8361484
2021-01-22,17126.75,17210.71,16539.07,16706.98,8492497
2021-01-25,16706.98,16958.85,16371.16,16539.07,8044390
2021-01-26,16539.07,16706.98,15279.75,15615.57,11150538
2021-01-27,16035.34,16035.34,14272.3,14272.3,9845699
2021-01-28,13432.75,14188.34,12845.07,12845.07,16715936
2021-01-29,11585.75,14104.39,11585.75,13936.48,10095164
2021-02-01,13936.48,14020.43,12845.07,13096.93,5606975
2021-02-02,12929.02,13852.52,12929.02,13768.57,11309146
2021-02-03,13936.48,15111.84,13852.52,15111.84,11743913
2021-02-04,15447.66,15867.43,15279.75,15363.71,7817370
2021-02-05,15363.71,15951.39,15363.71,15447.66,6002652
2021-02-08,15447.66,16203.25,14859.98,15279.75,15192147
2021-02-09,15279.75,15867.43,15279.75,15783.48,7245096
2021-02-17,16790.94,17294.66,14356.25,17294.66,11245517
2021-02-18,17630.48,18973.76,17630.48,18302.12,26445826
2021-02-19,18302.12,18553.98,17462.57,17714.44,14955084
2021-02-22,17714.44,18302.12,17630.48,18218.17,14764452
2021-02-23,18553.98,19897.26,18553.98,18973.76,15550482
