Date,Open,High,Low,Close,Volume
2021-01-04,13977.68,14018.2,13694.08,13694.08,9011500
2021-01-05,13471.25,13815.62,13410.47,13673.82,8624800
2021-01-06,13856.14,14160,13369.96,13775.11,10370000
2021-01-07,13977.68,14018.2,13592.79,13937.17,13783700
2021-01-08,14099.23,14139.74,13592.79,13835.88,11401100
2021-01-11,13815.62,13856.14,13390.22,13592.79,13473300
2021-01-12,13450.99,13977.68,13167.38,13815.62,16390400
2021-01-13,13977.68,13977.68,13532.02,13572.53,9755200
2021-01-14,13572.53,14504.38,13369.96,14322.06,22844000
2021-01-15,14504.38,15091.85,14362.58,14970.3,14649600
2021-01-18,14950.04,14970.3,14605.67,14706.95,11612500
2021-01-19,14504.38,14727.21,13694.08,13694.08,19694000
2021-01-20,13856.14,13977.68,12782.49,13491.5,14483300
2021-01-21,13532.02,14180.26,13369.96,13997.94,13084500
2021-01-22,13856.14,14058.71,13532.02,13673.82,11501200
2021-01-25,13450.99,13997.94,13329.44,13653.56,12151400
2021-01-26,13552.28,13613.05,12802.75,12964.81,10631800
2021-01-27,12741.98,12964.81,12073.48,12073.48,14058600
2021-01-28,11242.92,11445.49,11242.92,11242.92,18067700
2021-01-29,10533.91,12012.71,10533.91,11668.33,14006900
2021-02-01,11627.81,11951.93,10858.03,10858.03,15664500
2021-02-02,10817.51,11344.21,10412.36,11263.18,11603300
2021-02-03,11546.78,12032.96,11344.21,12032.96,14370500
2021-02-04,12073.48,12397.6,11830.39,12032.96,12070400
2021-02-05,12113.99,12762.23,12053.22,12762.23,12415200
2021-02-08,12904.04,13268.67,11992.45,12397.6,21430000
2021-02-09,12397.6,12924.29,11992.45,12863.52,15890800
2021-02-17,13167.38,13613.05,13045.84,13592.79,11244000
2021-02-18,13572.53,13673.82,13268.67,13491.5,14644800
2021-02-19,13248.41,13613.05,13248.41,13430.73,11921100
2021-02-22,13430.73,13673.82,13248.41,13309.19,13412000
2021-02-23,13369.96,13754.85,13228.16,13613.05,15568700
2021-02-24,13876.4,13957.43,13369.96,13552.28,14635500
2021-02-25,13653.56,13673.82,13329.44,13552.28,11141000
2021-02-26,13248.41,13532.02,13207.9,13450.99,13946600
2021-03-01,13613.05,14220.77,13491.5,14180.26,19294900
2021-03-02,14382.83,14382.83,14038.46,14200.52,12530900
2021-03-03,14099.23,14220.77,14018.2,14119.49,9827100
2021-03-04,14160,14160,13369.96,13552.28,15631000
2021-03-05,13369.96,13552.28,13167.38,13552.28,14142300
2021-03-08,13835.88,13957.43,13511.76,13592.79,10821800
2021-03-09,13491.5,13592.79,13268.67,13390.22,10483300
2021-03-10,13329.44,13471.25,13086.35,13410.47,10935600
2021-03-11,13613.05,13896.65,13491.5,13754.85,10817400
2021-03-12,13754.85,13815.62,13532.02,13572.53,6189600
2021-03-15,13572.53,13653.56,13450.99,13450.99,7094400
2021-03-16,13410.47,13450.99,13126.87,13248.41,12975900
2021-03-17,13248.41,13329.44,13106.61,13207.9,7522500
2021-03-18,13450.99,13572.53,13369.96,13491.5,7073300
2021-03-19,13410.47,13775.11,13410.47,13491.5,11156300
2021-03-22,13613.05,13673.82,13450.99,13532.02,7606900
2021-03-23,13532.02,13532.02,13187.64,13329.44,8829200
2021-03-24,13106.61,13268.67,12559.66,12681.2,13279700
2021-03-25,12762.23,12863.52,12438.11,12478.63,13265200
2021-03-26,12417.86,12600.17,11911.42,12519.14,10140300
2021-03-29,12681.2,12741.98,12559.66,12721.72,5694300
2021-03-30,12924.29,12924.29,12640.69,12883.78,7282100
2021-03-31,12843.26,13025.58,12823.01,12863.52,7641900
2021-04-01,12883.78,13754.85,12863.52,13754.85,21897600
2021-04-02,14139.74,14160,13795.37,13896.65,13802300
2021-04-05,14180.26,14382.83,13937.17,14180.26,18659500
2021-04-06,13977.68,14301.8,13977.68,14180.26,15886800
2021-04-07,14180.26,14382.83,14099.23,14322.06,13001600
2021-04-08,14463.86,14463.86,14160,14261.29,10999100
2021-04-09,14220.77,14463.86,14180.26,14281.55,11376200
2021-04-12,14423.35,14929.79,14261.29,14787.98,16962300
2021-04-13,14929.79,14950.04,14241.03,14423.35,17662700
2021-04-14,14261.29,14666.44,14180.26,14565.15,16502500
2021-04-15,14565.15,14565.15,14058.71,14119.49,18715900
2021-04-16,14038.46,14200.52,13491.5,13775.11,18210800
2021-04-19,13977.68,14099.23,13694.08,14099.23,11875700
2021-04-20,14382.83,14403.09,13734.59,13815.62,14901200
2021-04-22,13613.05,13775.11,12863.52,12863.52,14783000
2021-04-23,12964.81,13369.96,12782.49,13369.96,14676900
2021-04-26,13369.96,13410.47,12802.75,12843.26,9931300
2021-04-27,12843.26,12964.81,12620.43,12883.78,5350000
2021-04-28,12883.78,13187.64,12843.26,13005.32,8752800
2021-04-29,13005.32,13369.96,13005.32,13207.9,9170100
2021-05-04,12883.78,13329.44,12802.75,13329.44,9998200
2021-05-05,13410.47,13856.14,13349.7,13613.05,12386200
2021-05-06,13532.02,13754.85,13268.67,13309.19,10716100
2021-05-07,13167.38,13572.53,13126.87,13248.41,9370400
2021-05-10,13167.38,14139.74,13086.35,14058.71,22718700
2021-05-11,14180.26,14301.8,13856.14,13856.14,16042700
2021-05-12,13815.62,14119.49,13775.11,14099.23,10131500
2021-05-13,13937.17,14646.18,13937.17,14200.52,20974300
2021-05-14,14382.83,14544.89,14200.52,14301.8,13050200
2021-05-17,14585.41,14706.95,14301.8,14362.58,16948500
2021-05-18,14342.32,14544.89,14139.74,14281.55,11559500
2021-05-19,14281.55,14666.44,14180.26,14585.41,16376200
2021-05-20,14666.44,15598.28,14585.41,15598.28,28128900
2021-05-21,15800.86,16327.56,15598.28,15800.86,15936600
2021-05-24,15881.89,16145.24,15638.8,16124.98,16564900
2021-05-25,16124.98,16611.16,16003.44,16570.65,14778500
2021-05-26,16530.13,16894.77,16408.59,16590.9,13254600
2021-05-27,16590.9,16651.68,15800.86,16043.95,16156700
2021-05-28,16165.5,16975.8,16003.44,16935.28,17028000
2021-05-31,17178.37,18029.19,17016.31,17988.67,12192900
2021-06-01,18231.76,18353.31,17543.01,17705.07,12399700
2021-06-02,17421.46,18636.91,17421.46,18636.91,16616900
2021-06-03,19325.67,19933.39,19042.06,19811.85,14693000
2021-06-04,19730.82,20257.51,19447.21,19751.08,15977800
2021-06-07,19528.24,19973.91,18434.34,19102.83,23994300
2021-06-08,19042.06,19406.7,17826.61,17826.61,19617700
2021-06-09,18069.7,19062.32,17421.46,18920.52,21306400
2021-06-10,18961.03,19345.92,18839.49,19042.06,14900900
2021-06-11,18880,20338.54,18798.97,20298.03,22212500
2021-06-14,20379.06,21716.05,20257.51,21472.96,18579800
2021-06-15,21473.67,22093.1,21267.19,21473.67,14842900
2021-06-16,20978.12,21349.78,20214.15,20399.98,22090600
2021-06-17,19863.14,21225.89,19863.14,20854.23,10762100
2021-06-18,21267.19,21267.19,20689.05,20854.23,7798000
2021-06-21,20689.05,20854.23,20193.5,20234.8,12541700
2021-06-22,20606.46,20606.46,20276.1,20441.28,9039100
2021-06-23,20441.28,20978.12,20317.39,20606.46,9637700
2021-06-24,20647.76,20854.23,20523.87,20730.35,7398300
2021-06-25,20854.23,22175.69,20812.94,22175.69,23685000
2021-06-28,22629.94,22629.94,21969.21,22258.28,9639500
2021-06-29,22258.28,23042.9,22134.39,22547.35,10429100
2021-06-30,22340.87,22836.42,22299.58,22712.53,11623300
2021-07-01,23125.49,24033.99,22877.71,23744.92,13724500
2021-07-02,23910.1,24364.35,23538.44,23910.1,12668600
2021-07-05,23662.33,23786.21,22629.94,23331.96,18789800
2021-07-06,23331.96,23868.81,21721.44,21721.44,16593800
