Date,Open,High,Low,Close,Volume
2021-01-04,42306.99,43084.05,42004.79,42738.69,855900
2021-01-05,42738.69,43429.42,42738.69,42868.2,739200
2021-01-06,42954.54,45846.96,42868.2,45328.91,2080400
2021-01-07,44897.21,46839.88,44897.21,46192.32,889000
2021-01-08,46624.02,46624.02,45113.06,45242.57,963900
2021-01-11,45156.23,45631.11,44940.38,45113.06,847400
2021-01-12,45587.94,45587.94,44983.55,45587.94,634900
2021-01-13,45587.94,45803.79,44897.21,45242.57,1064200
2021-01-14,45328.91,45415.25,44595.02,44854.04,832200
2021-01-15,45285.74,45285.74,44249.65,44551.85,1099800
2021-01-18,44681.36,45328.91,44465.51,44595.02,1060400
2021-01-19,44508.68,44595.02,41486.75,42738.69,1130300
2021-01-20,42738.69,45717.45,42306.99,42781.86,2093000
2021-01-21,42781.86,44465.51,42306.99,44465.51,1283700
2021-01-22,44465.51,44897.21,44033.8,44465.51,1268500
2021-01-25,43645.27,44465.51,43645.27,44249.65,725900
2021-01-26,44249.65,44249.65,42738.69,43558.93,970500
2021-01-27,42781.86,43170.39,40537,42047.96,1566800
2021-01-28,39716.76,40277.98,39112.38,39112.38,1205500
2021-01-29,36910.69,41832.11,36910.69,40148.47,1359000
2021-02-01,41443.58,41443.58,39285.06,39328.23,1309600
2021-02-02,39716.76,41745.77,39716.76,41659.43,1064500
2021-02-03,42091.13,42738.69,41702.6,42695.52,1454600
2021-02-04,42695.52,42738.69,40537,42695.52,967300
2021-02-05,42695.52,43170.39,42263.81,43170.39,897400
2021-02-08,42695.52,43084.05,40191.64,40623.34,2902200
2021-02-09,41227.73,42047.96,40191.64,41961.62,2978900
2021-02-17,42091.13,43170.39,42091.13,43170.39,1054100
2021-02-18,42738.69,44033.8,42306.99,44033.8,1688900
2021-02-19,42825.03,43904.29,42781.86,43731.61,1851200
2021-02-22,43602.1,44033.8,43299.9,43429.42,1388700
2021-02-23,43170.39,43602.1,42825.03,43170.39,1441400
2021-02-24,43386.25,43602.1,41659.43,42350.16,1265300
2021-02-25,42738.69,42954.54,42134.3,42393.33,896100
2021-02-26,42004.79,42738.69,41875.28,42393.33,1070700
2021-03-01,42393.33,42868.2,42393.33,42825.03,911200
2021-03-02,43170.39,43947.46,42306.99,42868.2,1189600
2021-03-03,42436.5,42911.37,42393.33,42479.67,915600
2021-03-04,42566.01,42954.54,40191.64,42004.79,1118100
2021-03-05,41918.45,41961.62,41011.87,41616.26,1661600
2021-03-08,41875.28,41875.28,41011.87,41098.21,1501800
2021-03-09,41011.87,41011.87,40191.64,41011.87,1344300
2021-03-10,41011.87,41357.24,40580.17,41227.73,1063900
2021-03-11,41357.24,41788.94,41357.24,41573.09,1009800
2021-03-12,41573.09,41659.43,40796.02,41357.24,1259800
2021-03-15,41443.58,41875.28,41227.73,41573.09,1438400
2021-03-16,41443.58,41443.58,41055.04,41314.07,655800
2021-03-17,41227.73,41357.24,41011.87,41270.9,1239400
2021-03-18,41529.92,42091.13,41227.73,42091.13,1609100
2021-03-19,41918.45,41918.45,40666.51,40666.51,1595700
2021-03-22,41443.58,42091.13,41184.56,41875.28,1902000
2021-03-23,41832.11,41832.11,41184.56,41357.24,940800
2021-03-24,41011.87,41400.41,40623.34,40882.36,1422500
2021-03-25,40882.36,41443.58,40796.02,41055.04,1160300
2021-03-26,41011.87,41227.73,40450.66,40968.7,1196800
2021-03-29,41098.21,41357.24,40364.32,41141.38,1195800
2021-03-30,41141.38,41141.38,40623.34,40925.53,1748700
2021-03-31,40796.02,41055.04,40623.34,40925.53,944600
2021-04-01,41098.21,42177.47,41098.21,41832.11,2697600
2021-04-02,42091.13,42522.84,41832.11,42220.64,2277500
2021-04-05,42738.69,44379.16,42566.01,44033.8,3592400
2021-04-06,44033.8,44249.65,43386.25,43990.63,2243200
2021-04-07,43688.44,44033.8,43343.07,43990.63,1182700
2021-04-08,43990.63,43990.63,42954.54,43170.39,1575400
2021-04-09,42954.54,42954.54,42091.13,42091.13,2101700
2021-04-12,42522.84,42825.03,42047.96,42695.52,2670100
2021-04-13,43170.39,43170.39,42091.13,42091.13,1670900
2021-04-14,42004.79,42609.18,41832.11,42609.18,1336800
2021-04-15,43084.05,43084.05,41788.94,42091.13,2152800
2021-04-16,42004.79,42522.84,41443.58,41573.09,1515900
2021-04-19,41875.28,42522.84,41357.24,42522.84,1387500
2021-04-20,42781.86,45328.91,42522.84,44465.51,6274200
2021-04-22,44465.51,45587.94,44120.14,44465.51,2981300
2021-04-23,44465.51,44897.21,43386.25,44897.21,2285300
2021-04-26,44897.21,44897.21,42263.81,42566.01,3595400
2021-04-27,42566.01,42997.71,42177.47,42738.69,1191800
2021-04-28,42738.69,42868.2,42177.47,42738.69,1426900
2021-04-29,42738.69,43170.39,42306.99,43170.39,1615700
2021-05-04,42738.69,42997.71,42306.99,42781.86,1496300
2021-05-05,42781.86,44033.8,42781.86,43688.44,1826700
2021-05-06,43688.44,43904.29,42738.69,42868.2,1161200
2021-05-07,42695.52,42738.69,41745.77,41875.28,2284800
2021-05-10,41745.77,42393.33,41400.41,42350.16,1674000
2021-05-11,42393.33,42868.2,42091.13,42263.81,1171500
2021-05-12,42263.81,42263.81,41875.28,42004.79,1218300
2021-05-13,41961.62,42220.64,41788.94,41788.94,1698000
2021-05-14,42047.96,42436.5,41702.6,41832.11,1403600
2021-05-17,41918.45,42004.79,41357.24,41443.58,1715100
2021-05-18,41141.38,41443.58,40796.02,40839.19,2103400
2021-05-19,40839.19,40839.19,40493.83,40623.34,1678100
2021-05-20,40623.34,42738.69,40623.34,42738.69,1904100
2021-05-21,41573.09,42306.99,41443.58,41788.94,1459200
2021-05-24,42091.13,42522.84,41659.43,42047.96,1814700
2021-05-25,42047.96,43170.39,42047.96,43084.05,3816000
2021-05-26,43127.22,43947.46,43040.88,43343.07,2356000
2021-05-27,43170.39,43343.07,42306.99,42609.18,1455000
2021-05-28,42738.69,43645.27,42134.3,42997.71,2196000
2021-05-31,43602.1,43602.1,42436.5,42566.01,2621000
2021-06-01,42911.37,44983.55,42609.18,44767.7,4533500
2021-06-02,44897.21,46408.17,44767.7,45760.62,4274100
2021-06-03,45803.79,46624.02,45760.62,46062.81,2802000
2021-06-04,45976.47,45976.47,44940.38,45285.74,2405800
2021-06-07,45026.72,45285.74,43688.44,44465.51,2969900
2021-06-08,44465.51,44897.21,43170.39,43170.39,2351600
2021-06-09,43170.39,44033.8,42825.03,44033.8,2393900
2021-06-10,43990.63,44422.33,43170.39,43947.46,2262500
2021-06-11,43645.27,44681.36,43386.25,44379.16,2048000
2021-06-14,44076.97,44638.19,43731.61,44033.8,1459700
2021-06-15,44076.97,44465.51,43602.1,44379.16,1420700
2021-06-16,44249.65,45760.62,44249.65,44897.21,2898400
2021-06-17,44465.51,45328.91,44033.8,44983.55,1557000
2021-06-18,45113.06,47055.73,45026.72,46839.88,3234900
2021-06-21,46624.02,46710.37,45760.62,46019.64,2107900
2021-06-22,46235.49,46839.88,45976.47,46451.34,1481900
2021-06-23,46624.02,47919.14,46192.32,47357.92,2248600
2021-06-24,47444.26,47832.8,46537.68,47789.63,1143400
2021-06-25,47789.63,48696.2,47012.56,48609.86,1688800
2021-06-28,48653.03,48782.54,47962.31,48609.86,1524500
2021-06-29,48350.84,49214.25,48134.99,49214.25,1853100
2021-06-30,49214.25,50595.7,49214.25,50250.34,2768000
2021-07-01,50379.85,50423.02,49645.95,50250.34,1836400
2021-07-02,50250.34,50336.68,49214.25,49602.78,1727200
2021-07-05,49171.08,49171.08,47875.97,49041.57,2049100
2021-07-06,48566.69,49645.95,48350.84,48350.84,1669600
2021-07-07,48350.84,48955.23,45760.62,48955.23,2679800
2021-07-08,48005.48,48782.54,47055.73,47919.14,1384100
2021-07-09,47487.43,47962.31,46105.98,47401.09,2936900
2021-07-12,47271.58,47271.58,44508.68,46235.49,2480600
2021-07-13,46149.15,46149.15,44076.97,44638.19,1686000
2021-07-14,44638.19,44681.36,43170.39,43947.46,2251700
2021-07-15,43256.73,45113.06,43256.73,44249.65,2319400
2021-07-16,44249.65,44638.19,43602.1,44249.65,1467300
2021-07-19,43170.39,43256.73,41400.41,41875.28,2542200
2021-07-20,42220.64,43602.1,40364.32,43256.73,2386000
2021-07-21,42954.54,43386.25,42436.5,42738.69,1463700
2021-07-22,42695.52,43472.59,42306.99,43299.9,1455800
2021-07-23,42868.2,43084.05,41875.28,41875.28,1700300
2021-07-26,41659.43,42091.13,41314.07,41443.58,1264200
2021-07-27,42091.13,42134.3,41011.87,41011.87,2654200
2021-07-28,41055.04,41875.28,41055.04,41875.28,1490800
2021-07-29,42047.96,42263.81,41875.28,42263.81,1191800
2021-07-30,42004.79,42652.35,41961.62,42306.99,1354600
2021-08-02,41875.28,42609.18,41616.26,41875.28,1285000
2021-08-03,41918.45,42652.35,41875.28,42652.35,1265700
2021-08-04,42825.03,42868.2,42350.16,42522.84,1160300
2021-08-05,42306.99,42954.54,42263.81,42911.37,1127700
2021-08-06,43084.05,43084.05,42350.16,42350.16,1114400
2021-08-09,42350.16,42695.52,42177.47,42436.5,1228900
2021-08-10,42738.69,42825.03,42522.84,42738.69,1556400
2021-08-11,42868.2,43904.29,42781.86,43386.25,1711800
2021-08-12,43386.25,43515.76,42954.54,43127.22,986600
2021-08-13,43127.22,43127.22,42436.5,42997.71,1328900
2021-08-16,42997.71,43429.42,42738.69,43429.42,1992400
2021-08-17,44249.65,44465.51,43602.1,43602.1,1688700
2021-08-18,43602.1,44249.65,43040.88,43602.1,1848000
2021-08-19,43472.59,44465.51,43084.05,44379.16,2576600
2021-08-20,43688.44,43990.63,42911.37,43213.56,1798500
2021-08-23,42738.69,43170.39,41702.6,42004.79,2136200
2021-08-24,42825.03,42825.03,41659.43,41875.28,1069100
2021-08-25,41875.28,42738.69,41788.94,42091.13,1069200
2021-08-26,42220.64,42738.69,41788.94,41788.94,1076900
2021-08-27,41443.58,42522.84,41443.58,42220.64,1106600
2021-08-30,42479.67,42911.37,42220.64,42868.2,1221700
2021-08-31,42954.54,43127.22,42436.5,42911.37,747500
2021-09-01,42911.37,43127.22,41443.58,42911.37,907500
2021-09-06,42911.37,43213.56,42911.37,43170.39,905000
2021-09-07,43127.22,43515.76,43084.05,43170.39,1041800
2021-09-08,43170.39,43213.56,41788.94,43040.88,863000
2021-09-09,43040.88,43213.56,42566.01,42868.2,817200
2021-09-10,43084.05,43084.05,42566.01,42825.03,857800
2021-09-13,42652.35,42738.69,42350.16,42350.16,1043100
2021-09-14,42350.16,42522.84,41875.28,42436.5,1230500
2021-09-15,42436.5,42436.5,41918.45,41918.45,798500
2021-09-16,42695.52,42695.52,42091.13,42350.16,570400
2021-09-17,42091.13,42479.67,41961.62,41961.62,1002200
2021-09-20,42004.79,43602.1,42004.79,42997.71,1277900
2021-09-21,42954.54,43084.05,42306.99,42306.99,862000
2021-09-22,42479.67,42954.54,42306.99,42954.54,362800
2021-09-23,42997.71,43343.07,42522.84,42954.54,676000
2021-09-24,42954.54,43084.05,42868.2,42954.54,454700
2021-09-27,42954.54,43040.88,42306.99,42306.99,465500
2021-09-28,42220.64,42868.2,42091.13,42825.03,484500
2021-09-29,42954.54,42954.54,42091.13,42522.84,565000
2021-09-30,42522.84,42566.01,41918.45,41961.62,1199900
2021-10-01,42004.79,42393.33,41357.24,41400.41,1611900
2021-10-04,41443.58,41659.43,40752.85,40839.19,913400
2021-10-05,41055.04,41486.75,41055.04,41270.9,973700
2021-10-06,41270.9,41270.9,40925.53,41270.9,691200
2021-10-07,41270.9,41788.94,41011.87,41788.94,797200
2021-10-08,41702.6,41875.28,41270.9,41875.28,697000
2021-10-11,41875.28,42479.67,41788.94,42091.13,1096000
2021-10-12,42436.5,42436.5,41875.28,41875.28,761100
2021-10-13,42263.81,42306.99,41875.28,41875.28,1426300
2021-10-14,41875.28,41961.62,41400.41,41745.77,1784700
2021-10-15,41788.94,42004.79,41659.43,41659.43,731500
2021-10-18,41573.09,41875.28,41011.87,41443.58,1247900
2021-10-19,41486.75,41659.43,41098.21,41616.26,836300
2021-10-20,41616.26,41745.77,40580.17,41011.87,1561000
2021-10-21,41184.56,41443.58,40580.17,40580.17,1226100
2021-10-22,41011.87,41011.87,40580.17,40709.68,240000
2021-10-25,41400.41,41400.41,40623.34,40623.34,800600
2021-10-26,40623.34,40839.19,40407.49,40580.17,632000
2021-10-27,40839.19,41659.43,40709.68,41486.75,1428600
2021-10-28,41702.6,42263.81,41486.75,42263.81,1772600
2021-10-29,42004.79,42479.67,41832.11,42306.99,1263800
2021-11-01,42350.16,42393.33,41875.28,41875.28,1057500
2021-11-02,42047.96,42306.99,42004.79,42263.81,808300
2021-11-03,42177.47,42652.35,42004.79,42609.18,1830000
2021-11-04,42609.18,42652.35,41961.62,42479.67,989400
2021-11-05,42091.13,42738.69,41875.28,42091.13,1126300
2021-11-08,42350.16,42479.67,42091.13,42393.33,1184200
2021-11-09,42306.99,42566.01,41875.28,41918.45,1377600
2021-11-10,41918.45,42393.33,41788.94,42134.3,857100
2021-11-11,42220.64,42868.2,41875.28,42436.5,1115600
2021-11-12,42436.5,42436.5,42091.13,42393.33,614800
2021-11-15,42436.5,42738.69,41961.62,42177.47,766700
2021-11-16,42177.47,42522.84,41875.28,41961.62,706300
2021-11-17,41961.62,42350.16,41961.62,42306.99,788300
2021-11-18,42436.5,42436.5,41875.28,41875.28,709700
2021-11-19,41961.62,42263.81,41918.45,41918.45,413000
2021-11-22,42004.79,42695.52,41918.45,42652.35,1017300
2021-11-23,42738.69,42781.86,42393.33,42781.86,549200
2021-11-24,42825.03,45587.94,42825.03,45242.57,1883300
2021-11-25,45328.91,46624.02,45156.23,46235.49,1473200
2021-11-26,46062.81,46710.37,44897.21,45328.91,879600
2021-11-29,44595.02,45285.74,43602.1,43645.27,851000
2021-11-30,44897.21,44897.21,42695.52,42695.52,1336500
2021-12-01,42911.37,43817.95,42436.5,42738.69,551500
