Date,Open,High,Low,Close,Volume
2021-01-04,80063.83,80136.82,79552.94,79771.9,2299600
2021-01-05,80136.21,82493.16,79841.6,81609.31,4013900
2021-01-06,81756.62,81977.58,80872.76,80872.76,2823100
2021-01-07,81020.07,81609.31,80872.76,81314.69,2453000
2021-01-08,82124.89,83156.05,81682.96,82493.16,3323000
2021-01-11,82861.44,85439.35,82861.44,85365.69,4603900
2021-01-12,85807.62,85954.93,84997.42,85660.31,2344900
2021-01-13,85660.31,86323.2,84113.56,84334.53,2521600
2021-01-14,84260.87,84260.87,82935.09,83303.36,3680400
2021-01-15,83597.98,84923.76,83303.36,83892.6,2125700
2021-01-18,84039.91,84776.46,83450.67,83450.67,2624000
2021-01-19,83450.67,83450.67,78810.43,79326.01,3668300
2021-01-20,80136.21,80651.8,78073.89,80283.52,3363700
2021-01-21,80946.42,81535.65,80136.21,81241.03,2531200
2021-01-22,81167.38,81609.31,80062.56,80062.56,2429000
2021-01-25,80209.87,80799.11,79546.98,79694.29,2554800
2021-01-26,79620.63,79915.25,77337.34,78589.47,2596900
2021-01-27,78073.89,78663.12,75495.97,76085.21,3153800
2021-01-28,73654.61,75054.05,70782.08,70782.08,4565600
2021-01-29,70708.42,75716.94,70708.42,75716.94,4140500
2021-02-01,75864.25,77484.65,75127.7,75643.28,2934800
2021-02-02,75348.67,78810.43,75348.67,78368.5,3350900
2021-02-03,78368.5,80799.11,78368.5,80799.11,3056500
2021-02-04,80799.11,80799.11,78810.43,80136.21,1896800
2021-02-05,79988.91,81020.07,79988.91,80725.45,2231200
2021-02-08,80651.8,80725.45,76453.48,77558.3,4331600
2021-02-09,77558.3,80209.87,77263.69,79546.98,1931700
2021-02-17,79546.98,80209.87,79031.4,80062.56,2872300
2021-02-18,80062.56,80283.52,79178.7,80283.52,2847400
2021-02-19,79399.67,79767.94,78884.09,79546.98,2696500
2021-02-22,79105.05,79399.67,79031.4,79178.7,3006200
2021-02-23,79178.7,79546.98,78221.2,78810.43,3048400
2021-02-24,78884.09,79473.32,77705.61,77926.58,2801000
2021-02-25,78000.23,78294.85,76748.1,77042.72,4282900
2021-02-26,76306.18,77263.69,76158.87,77190.03,3357800
2021-03-01,77705.61,78000.23,77337.34,77779.27,2179000
2021-03-02,78221.2,78442.16,76600.79,77263.69,3050100
2021-03-03,77190.03,77263.69,76600.79,76969.07,2551300
2021-03-04,77484.65,77705.61,75864.25,76158.87,2755100
2021-03-05,75937.9,75937.9,74906.74,75864.25,4187600
2021-03-08,76232.52,76306.18,74906.74,75275.01,3208200
2021-03-09,74464.81,74759.43,73801.92,74022.88,4141900
2021-03-10,74022.88,75495.97,73507.3,74464.81,3391300
2021-03-11,75495.97,76453.48,75201.36,75716.94,2417000
2021-03-12,75864.25,76085.21,74906.74,75275.01,2704600
2021-03-15,75716.94,75864.25,75201.36,75275.01,2379400
2021-03-16,75275.01,75348.67,73728.26,74391.16,4121100
2021-03-17,74391.16,74391.16,73728.26,74022.88,3568400
2021-03-18,74391.16,75495.97,74391.16,75495.97,2553400
2021-03-19,75275.01,75275.01,74685.77,74906.74,2339400
2021-03-22,74906.74,74980.39,74096.54,74243.85,3416300
2021-03-23,74096.54,74170.19,73433.65,73801.92,4554300
2021-03-24,73359.99,73654.61,72549.79,72697.1,3192200
2021-03-25,72991.72,73433.65,72402.48,72549.79,3152700
2021-03-26,72181.52,72549.79,71150.35,71739.59,3653700
2021-03-29,72181.52,73580.95,72034.21,72918.06,2790300
2021-03-30,73359.99,73728.26,72623.44,73065.37,2590400
2021-03-31,72991.72,72991.72,72181.52,72476.14,2815600
2021-04-01,72549.79,74391.16,72181.52,74391.16,5594000
2021-04-02,75495.97,76600.79,75201.36,75643.28,3840000
2021-04-05,76969.07,76969.07,75275.01,75569.63,2822700
2021-04-06,75569.63,75643.28,74243.85,74759.43,3452600
2021-04-07,74391.16,74391.16,73654.61,73728.26,3503700
2021-04-08,73949.23,74022.88,73212.68,73580.95,3603800
2021-04-09,73654.61,73654.61,73065.37,73507.3,2716700
2021-04-12,73654.61,73875.57,73286.34,73654.61,3632400
2021-04-13,74243.85,74906.74,73433.65,73654.61,3799100
2021-04-14,73580.95,73654.61,72844.41,73139.03,3498500
2021-04-15,73359.99,74022.88,72844.41,72991.72,3549400
2021-04-16,72697.1,72697.1,71003.04,71371.32,4876400
2021-04-19,71371.32,71813.24,70045.53,70782.08,5722900
2021-04-20,71444.97,74391.16,71371.32,73139.03,6987200
2021-04-22,73139.03,73286.34,71444.97,72181.52,3166300
2021-04-23,72181.52,73580.95,71297.66,73286.34,3556800
2021-04-26,71444.97,72918.06,70708.42,70708.42,5045600
2021-04-27,70708.42,71076.7,69971.88,70487.46,3149400
2021-04-28,70487.46,70561.12,68867.06,69014.37,5027100
2021-04-29,69014.37,69382.64,67393.97,68867.06,6499700
2021-05-04,68425.13,68498.79,67393.97,67467.62,4112800
2021-05-05,67614.93,68498.79,67467.62,67762.24,3792300
2021-05-06,67762.24,67762.24,65994.53,65994.53,7448600
2021-05-07,65552.6,65699.91,63932.2,64079.51,6744500
2021-05-10,64079.51,68498.79,63416.62,68498.79,8176900
2021-05-11,68867.06,69603.61,67173,67173,4197000
2021-05-12,66436.46,67909.55,66289.15,67614.93,3199300
2021-05-13,67099.35,67541.28,66657.42,66657.42,3118400
2021-05-14,67173,67173,65920.88,65920.88,4391200
2021-05-17,65920.88,66289.15,64226.82,64226.82,5001300
2021-05-18,64447.78,64816.06,63932.2,64079.51,2970100
2021-05-19,64595.09,65552.6,64153.16,64447.78,3526100
2021-05-20,64668.75,64889.71,64079.51,64816.06,2800500
2021-05-21,64742.4,66878.39,64153.16,65699.91,3942800
2021-05-24,66289.15,67688.59,65920.88,67173,4349800
2021-05-25,67173,67173,66289.15,66657.42,2791200
2021-05-26,66289.15,67688.59,65773.57,67025.69,3773300
2021-05-27,67320.31,67467.62,66289.15,66657.42,2924300
2021-05-28,67025.69,67541.28,66583.77,67099.35,3122200
2021-05-31,67541.28,67762.24,66436.46,66657.42,3095900
2021-06-01,66657.42,66804.73,66215.49,66215.49,2339900
2021-06-02,65994.53,65994.53,65552.6,65847.22,3672400
2021-06-03,66289.15,66878.39,66141.84,66436.46,3629000
2021-06-04,66510.11,67025.69,65626.26,65920.88,4564400
2021-06-07,66741.8,66816.37,65623.22,66667.23,3736600
2021-06-08,66667.23,68084.09,66667.23,66890.94,5477700
